word,partOfSpeech,meaning,example,translation,synonyms,collocation,category,level
brand-new,adjective,全新的,The company needs a brand new solution for this issue.,公司需要一個全新的的解決方案來處理這個問題。,-,brand-new service,Shopping,Basic
state-of-the-art,adjective,最先進的,The company needs a state of the art solution for this issue.,公司需要一個最先進的的解決方案來處理這個問題。,-,state-of-the-art policy,Business,Advanced
user-friendly,adjective,使用者友善的,The company needs an user friendly solution for this issue.,公司需要一個使用者友善的的解決方案來處理這個問題。,-,user-friendly policy,Business,Intermediate
manual,noun,手冊,Please review the manual before the meeting.,請在會議前確認這項手冊。,manual of arms,manual information,Office,Basic
instruction,noun,指示；說明,Please review the instruction before the meeting.,請在會議前確認這項指示。,direction; education,instruction information,Office,Basic
instruct,verb,指示；教導,Please instruct the document before Friday.,請在星期五前指示這份文件。,teach; learn,instruct a request,Office,Intermediate
guidance,noun,指導；指引,Please review the guidance before the meeting.,請在會議前確認這項指導。,counsel; counseling,guidance details,Business,Intermediate
compilation,noun,彙編；編輯,Please review the compilation before the meeting.,請在會議前確認這項彙編。,digest; compiling,compilation information,Office,Advanced
archive,noun,檔案庫,Please review the archive before the meeting.,請在會議前確認這項檔案庫。,-,archive information,Office,Advanced
archival,adjective,檔案的,The company needs an archival solution for this issue.,公司需要一個檔案的的解決方案來處理這個問題。,-,archival service,Office,Advanced
spreadsheet,noun,試算表,Please review the spreadsheet before the meeting.,請在會議前確認這項試算表。,-,spreadsheet information,Office,Intermediate
worksheet,noun,工作表,Please review the worksheet before the meeting.,請在會議前確認這項工作表。,-,worksheet information,Office,Basic
database,noun,資料庫,Please review the database before the meeting.,請在會議前確認這項資料庫。,-,database information,Office,Intermediate
password,noun,密碼,Please review the password before the meeting.,請在會議前確認這項密碼。,watchword; word,password information,Office,Basic
username,noun,使用者名稱,Please review the username before the meeting.,請在會議前確認這項使用者名稱。,-,username information,Office,Basic
login,noun,登入,Please review the login before the meeting.,請在會議前確認這項登入。,-,login information,Office,Basic
logout,noun,登出,Please review the logout before the meeting.,請在會議前確認這項登出。,-,logout information,Office,Basic
permission,noun,許可；權限,Please review the permission before the meeting.,請在會議前確認這項許可。,license; permit,permission information,Office,Intermediate
administrator,noun,管理員；行政人員,Please review the administrator before the meeting.,請在會議前確認這項管理員。,decision maker; executive,administrator information,Office,Intermediate
troubleshoot,verb,排除故障,Please troubleshoot the document before Friday.,請在星期五前排除故障這份文件。,trouble-shoot,troubleshoot a request,Business,Advanced
backup,noun,備份,Please review the backup before the meeting.,請在會議前確認這項備份。,stand-in; substitute,backup information,Office,Intermediate
virus,noun,病毒,Please review the virus before the meeting.,請在會議前確認這項病毒。,computer virus,virus information,Office,Basic
software,noun,軟體,Please review the software before the meeting.,請在會議前確認這項軟體。,software program; computer software,software information,Office,Basic
hardware,noun,硬體,Please review the hardware before the meeting.,請在會議前確認這項硬體。,ironware; computer hardware,hardware information,Office,Basic
network,noun,網路；人脈,Please review the network before the meeting.,請在會議前確認這項網路。,web; net,network information,Office,Basic
server,noun,伺服器,Please review the server before the meeting.,請在會議前確認這項伺服器。,waiter; host,server information,Office,Intermediate
upload,verb,上傳,Please upload the document before Friday.,請在星期五前上傳這份文件。,-,upload a request,Office,Basic
download,verb,下載,Please download the document before Friday.,請在星期五前下載這份文件。,-,download a request,Office,Basic
incompatible,adjective,不相容的,The company needs an incompatible solution for this issue.,公司需要一個不相容的的解決方案來處理這個問題。,antagonistic; uncongenial,incompatible service,Office,Intermediate
automated,adjective,自動化的,The company needs an automated solution for this issue.,公司需要一個自動化的的解決方案來處理這個問題。,machine-controlled; machine-driven,automated policy,Business,Advanced
automation,noun,自動化,Please review the automation before the meeting.,請在會議前確認這項自動化。,mechanization; mechanisation,automation details,Business,Advanced
artificial,adjective,人工的；人造的,The company needs an artificial solution for this issue.,公司需要一個人工的的解決方案來處理這個問題。,unreal; contrived,artificial policy,Business,Intermediate
intelligence,noun,智慧；情報,Please review the intelligence before the meeting.,請在會議前確認這項智慧。,intelligence service; intelligence agency,intelligence details,Business,Intermediate
analytics,noun,分析資料；分析學,Please review the analytics before the meeting.,請在會議前確認這項分析資料。,-,analytics details,Business,Advanced
metric,noun,衡量指標,Please review the metric before the meeting.,請在會議前確認這項衡量指標。,metric function; metric unit,metric details,Business,Advanced
benchmark,noun,基準；標竿,Please review the benchmark before the meeting.,請在會議前確認這項基準。,bench mark,benchmark details,Business,Advanced
indicator,noun,指標；顯示物,Please review the indicator before the meeting.,請在會議前確認這項指標。,index; index number,indicator details,Business,Intermediate
projection,noun,預測；投影,Please review the projection before the meeting.,請在會議前確認這項預測。,project,projection details,Business,Advanced
forecasting,noun,預測,Please review the forecasting before the meeting.,請在會議前確認這項預測。,prediction; foretelling,forecasting details,Business,Advanced
fluctuation,noun,波動,Please review the fluctuation before the meeting.,請在會議前確認這項波動。,variation; wavering,fluctuation details,Business,Advanced
volatile,adjective,波動大的；不穩定的,The company needs a volatile solution for this issue.,公司需要一個波動大的的解決方案來處理這個問題。,explosive; fickle,volatile policy,Business,Advanced
stability,noun,穩定性,Please review the stability before the meeting.,請在會議前確認這項穩定性。,stableness; constancy,stability details,Business,Intermediate
stable,adjective,穩定的,The company needs a stable solution for this issue.,公司需要一個穩定的的解決方案來處理這個問題。,-,stable policy,Business,Intermediate
profitability,noun,獲利能力,Please review the profitability before the meeting.,請在會議前確認這項獲利能力。,profitableness; gainfulness,profitability details,Business,Advanced
profitable,adjective,有利可圖的,The company needs a profitable solution for this issue.,公司需要一個有利可圖的的解決方案來處理這個問題。,-,profitable policy,Business,Intermediate
unprofitable,adjective,無利可圖的,The company needs an unprofitable solution for this issue.,公司需要一個無利可圖的的解決方案來處理這個問題。,-,unprofitable policy,Business,Advanced
loss,noun,損失；虧損,Please review the loss before the meeting.,請在會議前確認這項損失。,-,loss details,Business,Basic
earnings,noun,收入；盈餘,Please review the earnings before the meeting.,請在會議前確認這項收入。,net income; net,earnings details,Business,Intermediate
turnover,noun,營業額；人員流動率,Please review the turnover before the meeting.,請在會議前確認這項營業額。,employee turnover; turnover rate,turnover details,Business,Advanced
margin,noun,利潤率；邊緣,Please review the margin before the meeting.,請在會議前確認這項利潤率。,border; perimeter,margin details,Business,Advanced
dividend,noun,股利；紅利,Please review the dividend before the meeting.,請在會議前確認這項股利。,-,dividend details,Business,Advanced
asset,noun,資產,Please review the asset before the meeting.,請在會議前確認這項資產。,plus,asset details,Business,Intermediate
liability,noun,負債；責任,Please review the liability before the meeting.,請在會議前確認這項負債。,indebtedness; financial obligation,liability details,Business,Advanced
equity,noun,權益；股本,Please review the equity before the meeting.,請在會議前確認這項權益。,fairness,equity details,Business,Advanced
share,noun,股份；份額,Please review the share before the meeting.,請在會議前確認這項股份。,portion; part,share details,Business,Basic
stockholder,noun,股東,Please review the stockholder before the meeting.,請在會議前確認這項股東。,shareholder; shareowner,stockholder details,Business,Intermediate
bond,noun,債券；契約,Please review the bond before the meeting.,請在會議前確認這項債券。,chemical bond; bond certificate,bond details,Business,Advanced
interest,noun,利息；興趣,Please review the interest before the meeting.,請在會議前確認這項利息。,involvement; sake,interest details,Business,Basic
rate,noun,比率；費率,Please review the rate before the meeting.,請在會議前確認這項比率。,charge per unit; pace,rate details,Business,Basic
inflation,noun,通貨膨脹,Please review the inflation before the meeting.,請在會議前確認這項通貨膨脹。,rising prices; ostentation,inflation details,Business,Advanced
recession,noun,經濟衰退,Please review the recession before the meeting.,請在會議前確認這項經濟衰退。,recess; niche,recession details,Business,Advanced
exchange-rate,noun,匯率,Please review the exchange rate before the meeting.,請在會議前確認這項匯率。,rate of exchange; exchange rate,exchange-rate details,Business,Advanced
transaction,noun,交易,Please review the transaction before the meeting.,請在會議前確認這項交易。,dealing; dealings,transaction details,Business,Intermediate
transferable,adjective,可轉讓的,The company needs a transferable solution for this issue.,公司需要一個可轉讓的的解決方案來處理這個問題。,movable; moveable,transferable policy,Business,Advanced
withdrawal,noun,提款；撤回,Please review the withdrawal before the meeting.,請在會議前確認這項提款。,backdown; climb-down,withdrawal details,Business,Intermediate
depositor,noun,存款人,Please review the depositor before the meeting.,請在會議前確認這項存款人。,-,depositor details,Business,Advanced
borrower,noun,借款人,Please review the borrower before the meeting.,請在會議前確認這項借款人。,-,borrower details,Business,Intermediate
lender,noun,貸款人；貸方,Please review the lender before the meeting.,請在會議前確認這項貸款人。,loaner,lender details,Business,Intermediate
loan,noun,貸款,Please review the loan before the meeting.,請在會議前確認這項貸款。,loanword,loan details,Business,Basic
mortgage,noun,房貸；抵押貸款,Please review the mortgage before the meeting.,請在會議前確認這項房貸。,-,mortgage details,Business,Advanced
installment,noun,分期付款,Please review the installment before the meeting.,請在會議前確認這項分期付款。,episode; instalment,installment details,Business,Intermediate
bookkeeping,noun,簿記,Please review the bookkeeping before the meeting.,請在會議前確認這項簿記。,clerking,bookkeeping details,Business,Advanced
auditor,noun,審計員；稽核員,Please review the auditor before the meeting.,請在會議前確認這項審計員。,hearer; listener,auditor details,Business,Intermediate
expense-report,noun,費用報告,Please review the expense report before the meeting.,請在會議前確認這項費用報告。,-,expense-report details,Business,Intermediate
deductible,adjective,可扣除的,The company needs a deductible solution for this issue.,公司需要一個可扣除的的解決方案來處理這個問題。,-,deductible policy,Business,Advanced
taxable,adjective,應課稅的,The company needs a taxable solution for this issue.,公司需要一個應課稅的的解決方案來處理這個問題。,nonexempt,taxable policy,Business,Advanced
exemption,noun,免除；免稅額,Please review the exemption before the meeting.,請在會議前確認這項免除。,freedom; immunity,exemption details,Business,Advanced
premium,noun,保費；高級品,Please review the premium before the meeting.,請在會議前確認這項保費。,insurance premium; agio,premium details,Business,Advanced
policyholder,noun,保單持有人,Please review the policyholder before the meeting.,請在會議前確認這項保單持有人。,-,policyholder details,Business,Advanced
insurer,noun,保險公司,Please review the insurer before the meeting.,請在會議前確認這項保險公司。,insurance company; insurance firm,insurer details,Business,Advanced
insured,adjective,已投保的,The company needs an insured solution for this issue.,公司需要一個已投保的的解決方案來處理這個問題。,-,insured policy,Business,Intermediate
compensatory,adjective,補償性的,The company needs a compensatory solution for this issue.,公司需要一個補償性的的解決方案來處理這個問題。,-,compensatory policy,Business,Advanced
contract,noun,合約,Both parties signed the contract yesterday.,雙方昨天簽署了合約。,declaration; contract bridge,sign a contract,Business,Basic
contractor,noun,承包商,Please review the contractor before the meeting.,請在會議前確認這項承包商。,declarer,contractor details,Business,Intermediate
clause,noun,條款,Please review the clause before the meeting.,請在會議前確認這項條款。,article,clause details,Business,Advanced
term,noun,條件；期限,Please review the term before the meeting.,請在會議前確認這項條件。,condition,term details,Business,Basic
renew,verb,續約；更新,Please renew the document before Friday.,請在星期五前續約這份文件。,regenerate; reincarnate,renew a request,Business,Intermediate
termination,noun,終止,Please review the termination before the meeting.,請在會議前確認這項終止。,expiration; expiry,termination details,Business,Advanced
binding,adjective,有約束力的,The company needs a binding solution for this issue.,公司需要一個有約束力的的解決方案來處理這個問題。,-,binding policy,Business,Advanced
negotiable,adjective,可協商的,The company needs a negotiable solution for this issue.,公司需要一個可協商的的解決方案來處理這個問題。,on the table; assignable,negotiable policy,Business,Advanced
breach,noun,違反；破壞,Please review the breach before the meeting.,請在會議前確認這項違反。,rupture; break,breach details,Business,Advanced
compliance,noun,遵守；合規,Please review the compliance before the meeting.,請在會議前確認這項遵守。,conformity; conformation,compliance details,Business,Advanced
legislation,noun,法規；立法,Please review the legislation before the meeting.,請在會議前確認這項法規。,statute law; legislating,legislation details,Business,Advanced
regulatory,adjective,監管的,The company needs a regulatory solution for this issue.,公司需要一個監管的的解決方案來處理這個問題。,regulative,regulatory policy,Business,Advanced
mandatory,adjective,強制的,The company needs a mandatory solution for this issue.,公司需要一個強制的的解決方案來處理這個問題。,compulsory; required,mandatory policy,Business,Advanced
voluntary,adjective,自願的,The company needs a voluntary solution for this issue.,公司需要一個自願的的解決方案來處理這個問題。,-,voluntary policy,Business,Intermediate
confidential,adjective,機密的,The company needs a confidential solution for this issue.,公司需要一個機密的的解決方案來處理這個問題。,secret,confidential policy,Business,Intermediate
confidentiality,noun,機密性,Please review the confidentiality before the meeting.,請在會議前確認這項機密性。,-,confidentiality details,Business,Advanced
authorization,noun,授權,Please review the authorization before the meeting.,請在會議前確認這項授權。,mandate; authorisation,authorization details,Business,Intermediate
certified,adjective,經認證的,The company needs a certified solution for this issue.,公司需要一個經認證的的解決方案來處理這個問題。,certifiable; qualified,certified policy,Business,Intermediate
verification,noun,驗證；確認,Please review the verification before the meeting.,請在會議前確認這項驗證。,confirmation; check,verification details,Business,Advanced
verify,verb,驗證；確認,Please verify the document before Friday.,請在星期五前驗證這份文件。,control,verify a request,Business,Intermediate
validate,verb,確認有效；驗證,Please validate the document before Friday.,請在星期五前確認有效這份文件。,formalize; formalise,validate a request,Business,Advanced
invalid,adjective,無效的,The company needs an invalid solution for this issue.,公司需要一個無效的的解決方案來處理這個問題。,-,invalid policy,Business,Intermediate
signatory,noun,簽署人,Please review the signatory before the meeting.,請在會議前確認這項簽署人。,signer,signatory details,Business,Advanced
acknowledge,verb,承認；確認收到,Please acknowledge the document before Friday.,請在星期五前承認這份文件。,admit; receipt,acknowledge a request,Business,Intermediate
acknowledgment,noun,確認；承認,Please review the acknowledgment before the meeting.,請在會議前確認這項確認。,recognition; acknowledgement,acknowledgment details,Business,Advanced
approval,noun,核准；批准,Please review the approval before the meeting.,請在會議前確認這項核准。,blessing; approving,approval details,Business,Intermediate
rejection,noun,拒絕；駁回,Please review the rejection before the meeting.,請在會議前確認這項拒絕。,-,rejection details,Business,Intermediate
decline,verb,婉拒；下降,Please decline the document before Friday.,請在星期五前婉拒這份文件。,worsen; refuse,decline a request,Business,Intermediate
acceptance,noun,接受；錄取,Please review the acceptance before the meeting.,請在會議前確認這項接受。,credence; adoption,acceptance details,Business,Intermediate
obligation,noun,義務；責任,Please review the obligation before the meeting.,請在會議前確認這項義務。,duty; responsibility,obligation details,Business,Advanced
responsibility,noun,責任,Please review the responsibility before the meeting.,請在會議前確認這項責任。,duty; obligation,responsibility details,Business,Intermediate
accountability,noun,問責；責任制,Please review the accountability before the meeting.,請在會議前確認這項問責。,answerability; answerableness,accountability details,Business,Advanced
initiative,noun,主動性；新措施,Please review the initiative before the meeting.,請在會議前確認這項主動性。,enterprise; enterprisingness,initiative details,Business,Advanced
leadership,noun,領導力,Please review the leadership before the meeting.,請在會議前確認這項領導力。,leading; leaders,leadership information,Human Resources,Intermediate
mentor,noun,導師；指導者,Please review the mentor before the meeting.,請在會議前確認這項導師。,wise man,mentor information,Human Resources,Advanced
mentorship,noun,導師制度,Please review the mentorship before the meeting.,請在會議前確認這項導師制度。,-,mentorship information,Human Resources,Advanced
trainee,noun,受訓人員,Please review the trainee before the meeting.,請在會議前確認這項受訓人員。,-,trainee information,Human Resources,Intermediate
intern,noun,實習生,Please review the intern before the meeting.,請在會議前確認這項實習生。,interne; houseman,intern information,Human Resources,Basic
internship,noun,實習,Please review the internship before the meeting.,請在會議前確認這項實習。,-,internship information,Human Resources,Basic
orientation,noun,新生訓練；方向,Please review the orientation before the meeting.,請在會議前確認這項新生訓練。,-,orientation information,Human Resources,Intermediate
onboarding,noun,新人到職訓練,Please review the onboarding before the meeting.,請在會議前確認這項新人到職訓練。,-,onboarding information,Human Resources,Advanced
probation,noun,試用期,Please review the probation before the meeting.,請在會議前確認這項試用期。,-,probation information,Human Resources,Advanced
resignation,noun,辭職,Please review the resignation before the meeting.,請在會議前確認這項辭職。,surrender,resignation information,Human Resources,Intermediate
resign,verb,辭職,The manager decided to resign at the end of June.,經理決定在六月底辭職。,vacate; renounce,resign promptly,Human Resources,Intermediate
retention,noun,留任；保留,Please review the retention before the meeting.,請在會議前確認這項留任。,keeping; holding,retention information,Human Resources,Advanced
recruiter,noun,招募人員,Please review the recruiter before the meeting.,請在會議前確認這項招募人員。,-,recruiter information,Human Resources,Intermediate
shortlist,verb,列入候選名單,Please shortlist the document before Friday.,請在星期五前列入候選名單這份文件。,-,shortlist a request,Human Resources,Advanced
vacant,adjective,空缺的,The company needs a vacant solution for this issue.,公司需要一個空缺的的解決方案來處理這個問題。,-,vacant service,Human Resources,Intermediate
part-time,adjective,兼職的,The company needs a part time solution for this issue.,公司需要一個兼職的的解決方案來處理這個問題。,-,part-time service,Human Resources,Basic
full-time,adjective,全職的,The company needs a full time solution for this issue.,公司需要一個全職的的解決方案來處理這個問題。,-,full-time service,Human Resources,Basic
permanent,adjective,永久的；正式的,The company needs a permanent solution for this issue.,公司需要一個永久的的解決方案來處理這個問題。,lasting,permanent service,Human Resources,Intermediate
seasonal,adjective,季節性的,The company needs a seasonal solution for this issue.,公司需要一個季節性的的解決方案來處理這個問題。,-,seasonal service,Human Resources,Intermediate
hourly,adjective,按小時計算的,The company needs a hourly solution for this issue.,公司需要一個按小時計算的的解決方案來處理這個問題。,-,hourly service,Human Resources,Intermediate
wage,noun,工資,Please review the wage before the meeting.,請在會議前確認這項工資。,pay; earnings,wage information,Human Resources,Basic
payroll,noun,薪資名冊；薪資系統,Please review the payroll before the meeting.,請在會議前確認這項薪資名冊。,paysheet; payroll department,payroll information,Human Resources,Intermediate
bonus,noun,獎金,Please review the bonus before the meeting.,請在會議前確認這項獎金。,fillip; incentive,bonus information,Human Resources,Basic
incentive,noun,獎勵；誘因,Please review the incentive before the meeting.,請在會議前確認這項獎勵。,inducement; motivator,incentive information,Human Resources,Advanced
allowance,noun,津貼；限額,Please review the allowance before the meeting.,請在會議前確認這項津貼。,adjustment,allowance information,Human Resources,Intermediate
pension,noun,退休金,Please review the pension before the meeting.,請在會議前確認這項退休金。,-,pension information,Human Resources,Intermediate
beneficiary,noun,受益人,Please review the beneficiary before the meeting.,請在會議前確認這項受益人。,donee; benefactive role,beneficiary information,Human Resources,Advanced
workplace,noun,工作場所,Please review the workplace before the meeting.,請在會議前確認這項工作場所。,work,workplace information,Human Resources,Basic
workstation,noun,工作站,Please review the workstation before the meeting.,請在會議前確認這項工作站。,-,workstation information,Office,Intermediate
ergonomic,adjective,符合人體工學的,The company needs an ergonomic solution for this issue.,公司需要一個符合人體工學的的解決方案來處理這個問題。,-,ergonomic service,Office,Advanced
productivity,noun,生產力,Please review the productivity before the meeting.,請在會議前確認這項生產力。,productiveness,productivity details,Business,Intermediate
unproductive,adjective,無成效的,The company needs an unproductive solution for this issue.,公司需要一個無成效的的解決方案來處理這個問題。,-,unproductive policy,Business,Advanced
morale,noun,士氣,Please review the morale before the meeting.,請在會議前確認這項士氣。,esprit de corps; team spirit,morale information,Human Resources,Advanced
absenteeism,noun,缺勤,Please review the absenteeism before the meeting.,請在會議前確認這項缺勤。,-,absenteeism information,Human Resources,Advanced
punctuality,noun,準時,Please review the punctuality before the meeting.,請在會議前確認這項準時。,promptness,punctuality information,Human Resources,Intermediate
tardy,adjective,遲到的；緩慢的,The company needs a tardy solution for this issue.,公司需要一個遲到的的解決方案來處理這個問題。,belated; late,tardy service,Human Resources,Advanced
supervise,verb,監督；管理,Please supervise the document before Friday.,請在星期五前監督這份文件。,oversee; superintend,supervise a request,Human Resources,Intermediate
supervision,noun,監督；管理,Please review the supervision before the meeting.,請在會議前確認這項監督。,supervising; superintendence,supervision information,Human Resources,Intermediate
subordinate,noun,下屬,Please review the subordinate before the meeting.,請在會議前確認這項下屬。,subsidiary; underling,subordinate information,Human Resources,Advanced
delegate,verb,委派；授權,Please delegate the document before Friday.,請在星期五前委派這份文件。,depute; designate,delegate a request,Human Resources,Advanced
workload,noun,工作量,Please review the workload before the meeting.,請在會議前確認這項工作量。,work load,workload information,Human Resources,Intermediate
milestone,noun,里程碑；階段目標,Please review the milestone before the meeting.,請在會議前確認這項里程碑。,milepost,milestone details,Business,Advanced
goal,noun,目標,Please review the goal before the meeting.,請在會議前確認這項目標。,end; finish,goal details,Business,Basic
target,noun,目標；對象,Please review the target before the meeting.,請在會議前確認這項目標。,mark; prey,target details,Business,Basic
priority,noun,優先事項,Please review the priority before the meeting.,請在會議前確認這項優先事項。,precedence; precedency,priority details,Business,Intermediate
essential,adjective,必要的；基本的,The company needs an essential solution for this issue.,公司需要一個必要的的解決方案來處理這個問題。,indispensable; all-important,essential policy,Business,Intermediate
optional,adjective,可選擇的,The company needs an optional solution for this issue.,公司需要一個可選擇的的解決方案來處理這個問題。,-,optional policy,Business,Intermediate
feasible,adjective,可行的,The company needs a feasible solution for this issue.,公司需要一個可行的的解決方案來處理這個問題。,executable; practicable,feasible policy,Business,Advanced
viable,adjective,可行的,The company needs a viable solution for this issue.,公司需要一個可行的的解決方案來處理這個問題。,feasible; executable,viable policy,Business,Advanced
tactic,noun,策略；手段,Please review the tactic before the meeting.,請在會議前確認這項策略。,tactics; maneuver,tactic details,Business,Advanced
implementation,noun,實施；執行,Please review the implementation before the meeting.,請在會議前確認這項實施。,execution; carrying out,implementation details,Business,Advanced
implement,verb,實施；執行,Please implement the document before Friday.,請在星期五前實施這份文件。,enforce; apply,implement a request,Business,Intermediate
execute,verb,執行,Please execute the document before Friday.,請在星期五前執行這份文件。,put to death; carry through,execute a request,Business,Intermediate
execution,noun,執行,Please review the execution before the meeting.,請在會議前確認這項執行。,executing; capital punishment,execution details,Business,Advanced
efficiently,adverb,有效率地,The staff handled the request efficiently.,員工以有效率地的方式處理這項請求。,expeditiously,respond efficiently,Business,Intermediate
effectively,adverb,有效地,The staff handled the request effectively.,員工以有效地的方式處理這項請求。,efficaciously; in effect,respond effectively,Business,Intermediate
effectiveness,noun,有效性,Please review the effectiveness before the meeting.,請在會議前確認這項有效性。,effectivity; effectualness,effectiveness details,Business,Advanced
optimize,verb,優化,Please optimize the document before Friday.,請在星期五前優化這份文件。,optimise,optimize a request,Business,Advanced
optimal,adjective,最佳的,The company needs an optimal solution for this issue.,公司需要一個最佳的的解決方案來處理這個問題。,optimum,optimal policy,Business,Advanced
streamline,verb,精簡；使有效率,Please streamline the document before Friday.,請在星期五前精簡這份文件。,-,streamline a request,Business,Advanced
protocol,noun,協定；規範,Please review the protocol before the meeting.,請在會議前確認這項協定。,communications protocol,protocol details,Business,Advanced
workflow,noun,工作流程,Please review the workflow before the meeting.,請在會議前確認這項工作流程。,work flow,workflow details,Business,Intermediate
operational,adjective,營運的；可操作的,The company needs an operational solution for this issue.,公司需要一個營運的的解決方案來處理這個問題。,functional; usable,operational policy,Business,Advanced
logistics,noun,物流；後勤,Please review the logistics before the meeting.,請在會議前確認這項物流。,-,logistics details,Business,Advanced
supply-chain,noun,供應鏈,Please review the supply chain before the meeting.,請在會議前確認這項供應鏈。,-,supply-chain details,Business,Advanced
procurement,noun,採購,Please review the procurement before the meeting.,請在會議前確認這項採購。,procurance; procural,procurement details,Business,Advanced
distributor,noun,經銷商；配送商,Please review the distributor before the meeting.,請在會議前確認這項經銷商。,distributer; allocator,distributor details,Business,Intermediate
manufacturer,noun,製造商,Please review the manufacturer before the meeting.,請在會議前確認這項製造商。,maker; manufacturing business,manufacturer details,Business,Intermediate
factory,noun,工廠,Please review the factory before the meeting.,請在會議前確認這項工廠。,mill; manufacturing plant,factory details,Business,Basic
stockroom,noun,庫房,Please review the stockroom before the meeting.,請在會議前確認這項庫房。,stock room,stockroom details,Business,Intermediate
storage,noun,儲存；倉儲,Please review the storage before the meeting.,請在會議前確認這項儲存。,storehouse; depot,storage details,Business,Basic
crate,noun,板條箱,Please review the crate before the meeting.,請在會議前確認這項板條箱。,crateful,crate details,Business,Intermediate
pallet,noun,棧板,Please review the pallet before the meeting.,請在會議前確認這項棧板。,palette,pallet details,Business,Advanced
cargo,noun,貨物,Please review the cargo before the meeting.,請在會議前確認這項貨物。,lading; freight,cargo information,Travel,Intermediate
tracking,noun,追蹤,Please review the tracking before the meeting.,請在會議前確認這項追蹤。,trailing,tracking details,Business,Intermediate
detour,noun,繞道,Please review the detour before the meeting.,請在會議前確認這項繞道。,roundabout way,detour information,Travel,Intermediate
traffic,noun,交通；流量,Please review the traffic before the meeting.,請在會議前確認這項交通。,-,traffic information,Travel,Basic
boarding-pass,noun,登機證,Please review the boarding pass before the meeting.,請在會議前確認這項登機證。,boarding card; boarding pass,boarding-pass information,Travel,Basic
arrival,noun,抵達,Please review the arrival before the meeting.,請在會議前確認這項抵達。,reaching; arriver,arrival information,Travel,Basic
terminal,noun,航廈；終端機,Please review the terminal before the meeting.,請在會議前確認這項航廈。,terminus; depot,terminal information,Travel,Intermediate
gate,noun,登機門；大門,Please review the gate before the meeting.,請在會議前確認這項登機門。,logic gate,gate information,Travel,Basic
baggage-claim,noun,行李提領處,Please review the baggage claim before the meeting.,請在會議前確認這項行李提領處。,baggage claim,baggage-claim information,Travel,Basic
immigration,noun,移民局；入境審查,Please review the immigration before the meeting.,請在會議前確認這項移民局。,in-migration,immigration information,Travel,Intermediate
passport,noun,護照,Please review the passport before the meeting.,請在會議前確認這項護照。,pass; recommendation,passport information,Travel,Basic
visa,noun,簽證,Please review the visa before the meeting.,請在會議前確認這項簽證。,-,visa information,Travel,Basic
amenity,noun,便利設施,Please review the amenity before the meeting.,請在會議前確認這項便利設施。,agreeableness,amenity information,Travel,Advanced
concierge,noun,飯店服務台人員,Please review the concierge before the meeting.,請在會議前確認這項飯店服務台人員。,-,concierge information,Travel,Advanced
brochure,noun,小冊子,Please review the brochure before the meeting.,請在會議前確認這項小冊子。,booklet; folder,brochure information,Travel,Intermediate
sightseeing,noun,觀光,Please review the sightseeing before the meeting.,請在會議前確認這項觀光。,rubber-necking,sightseeing information,Travel,Basic
excursion,noun,短途旅行,Please review the excursion before the meeting.,請在會議前確認這項短途旅行。,jaunt; outing,excursion information,Travel,Advanced
souvenir,noun,紀念品,Please review the souvenir before the meeting.,請在會議前確認這項紀念品。,keepsake; token,souvenir information,Travel,Basic
cuisine,noun,料理；菜餚,Please review the cuisine before the meeting.,請在會議前確認這項料理。,culinary art,cuisine information,Restaurant,Advanced
menu,noun,菜單,Please review the menu before the meeting.,請在會議前確認這項菜單。,bill of fare; card,menu information,Restaurant,Basic
entrée,noun,主菜,Please review the entrée before the meeting.,請在會議前確認這項主菜。,-,entrée information,Restaurant,Advanced
portion,noun,份量；部分,Please review the portion before the meeting.,請在會議前確認這項份量。,part; component part,portion information,Restaurant,Intermediate
serve,verb,服務；供應餐點,Please serve the document before Friday.,請在星期五前服務這份文件。,function,serve a request,Restaurant,Basic
service-charge,noun,服務費,Please review the service charge before the meeting.,請在會議前確認這項服務費。,service charge; service fee,service-charge information,Restaurant,Intermediate
gratuity,noun,小費,Please review the gratuity before the meeting.,請在會議前確認這項小費。,tip; pourboire,gratuity information,Restaurant,Advanced
conference,noun,會議；研討會,Please review the conference before the meeting.,請在會議前確認這項會議。,league; group discussion,attend a conference,Business,Basic
convention,noun,大型會議；慣例,Please review the convention before the meeting.,請在會議前確認這項大型會議。,normal; pattern,convention details,Business,Intermediate
webinar,noun,網路研討會,Please review the webinar before the meeting.,請在會議前確認這項網路研討會。,-,webinar details,Business,Advanced
minutes,noun,會議記錄,Please review the minutes before the meeting.,請在會議前確認這項會議記錄。,proceedings; transactions,minutes information,Office,Intermediate
attendee,noun,出席者,Please review the attendee before the meeting.,請在會議前確認這項出席者。,attendant; attender,attendee details,Business,Intermediate
keynote,noun,主題演講,Please review the keynote before the meeting.,請在會議前確認這項主題演講。,tonic,keynote details,Business,Advanced
speaker,noun,講者；揚聲器,Please review the speaker before the meeting.,請在會議前確認這項講者。,talker; utterer,speaker details,Business,Basic
exhibitor,noun,參展商,Please review the exhibitor before the meeting.,請在會議前確認這項參展商。,exhibitioner; shower,exhibitor details,Business,Intermediate
booth,noun,攤位；電話亭,Please review the booth before the meeting.,請在會議前確認這項攤位。,cubicle; stall,booth details,Business,Basic
